Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVMI,NVMI,NVMI,NVMI,NVMI,NVMI
Date,,,,,,
2023-01-03,82.91999816894531,82.91999816894531,83.68000030517578,81.91000366210938,82.97000122070312,88000
2023-01-04,84.27999877929688,84.27999877929688,85.73999786376953,82.20999908447266,83.2699966430664,97900
2023-01-05,83.73999786376953,83.73999786376953,84.9800033569336,82.37999725341797,82.87000274658203,63900
2023-01-06,86.86000061035156,86.86000061035156,87.83000183105469,83.04000091552734,84.62000274658203,107500
2023-01-09,88.27999877929688,88.27999877929688,91.0999984741211,87.47000122070312,87.80000305175781,77300
2023-01-10,89.37000274658203,89.37000274658203,90.05000305175781,87.19999694824219,88.41000366210938,50600
2023-01-11,89.8499984741211,89.8499984741211,90.5199966430664,88.12999725341797,89.06999969482422,101300
2023-01-12,91.0,91.0,92.05000305175781,88.66999816894531,90.0,66500
2023-01-13,90.56999969482422,90.56999969482422,91.87999725341797,90.12999725341797,90.2699966430664,82400
2023-01-17,89.33000183105469,89.33000183105469,90.55000305175781,88.5,89.75,57800
2023-01-18,90.48999786376953,90.48999786376953,91.98999786376953,90.43000030517578,90.75,65800
2023-01-19,89.86000061035156,89.86000061035156,90.55999755859375,89.18000030517578,90.12999725341797,79800
2023-01-20,92.69999694824219,92.69999694824219,93.36000061035156,89.6500015258789,90.08999633789062,52200
2023-01-23,96.4800033569336,96.4800033569336,97.88999938964844,93.69000244140625,93.69999694824219,121600
2023-01-24,94.69999694824219,94.69999694824219,95.95999908447266,94.3499984741211,95.66999816894531,60400
2023-01-25,94.58000183105469,94.58000183105469,95.20999908447266,92.7699966430664,93.86000061035156,166900
2023-01-26,94.7300033569336,94.7300033569336,94.79000091552734,92.37999725341797,94.36000061035156,66800
2023-01-27,92.98999786376953,92.98999786376953,94.18000030517578,92.33999633789062,93.56999969482422,44500
2023-01-30,89.62000274658203,89.62000274658203,91.23999786376953,89.25,91.23999786376953,60100
2023-01-31,90.69999694824219,90.69999694824219,91.01000213623047,89.19999694824219,89.5999984741211,94300
2023-02-01,95.01000213623047,95.01000213623047,95.68000030517578,91.13999938964844,91.13999938964844,78500
2023-02-02,96.30000305175781,96.30000305175781,99.0,95.9000015258789,97.6500015258789,132000
2023-02-03,96.06999969482422,96.06999969482422,96.7300033569336,95.01000213623047,95.01000213623047,61200
